canonical_key,job_id,company,role,status,applied_date,follow_up_date,priority,match_score,resume_version,outreach_status,next_action,probable_repost,previous_job_id,notes
733/95589233616,733/95589233616,McKesson,Software Engineer,Ready to Apply,,,1,87,Swarup_Resume.pdf,Not researched,"Tailor resume, apply, then prepare outreach",,,"Strong full-stack fit on Java, Spring Boot, React, REST APIs, Hibernate, MySQL, TypeScript, testing, Git, and CI/CD. Conservatively using resume details for dates because the profile export and resume wording differ. Freshness is UNKNOWN-LIVE because the posted date was not exposed on the live page."
126243,126243,IBM,Software Engineer - Confluent,Ready to Apply,,,2,83,Swarup_Resume.pdf,Not researched,"Tailor resume, apply, then prepare outreach",,,Action: Apply Now/After Tailoring. Freshness: LIVE - DATE UNKNOWN.
110385859693290182,110385859693290182,Google,"Software Engineer III, Full Stack, Google Store",Tailoring Needed,,,3,84,Swarup_Resume.pdf,Not researched,"Verify freshness/seniority, tailor resume, apply",,,Action: Apply After Tailoring. Freshness: LIVE - DATE UNKNOWN.
126957,126957,IBM,Software Engineer - Confluent,Manual Verification,,,4,81,Swarup_Resume.pdf,Not researched,Resolve probable repost; do not apply separately until confirmed.,Yes,126243,"Action: Apply After Tailoring. Freshness: LIVE - DATE UNKNOWN. AUDIT: Probable repost of IBM 126243; removed from primary apply queue until confirmed separate."
116585,116585,IBM,Application Developer-Cloud FullStack,Tailoring Needed,,,5,79,Swarup_Resume.pdf,Not researched,"Verify freshness/seniority, tailor resume, apply",,,Action: Apply After Tailoring. Freshness: LIVE - DATE UNKNOWN.
83003,83003,IBM,Application Developer-Azure Cloud FullStack,Tailoring Needed,,,6,78,Swarup_Resume.pdf,Not researched,"Verify freshness/seniority, tailor resume, apply",,,Action: Apply After Tailoring. Freshness: LIVE - DATE UNKNOWN.
340302,340302,Oracle,Full stack Developer,Tailoring Needed,,,7,77,Swarup_Resume.pdf,Not researched,"Verify freshness/seniority, tailor resume, apply",,,Action: Apply After Tailoring. Freshness: LIVE - DATE UNKNOWN.
200674285,200674285,Apple,Software Engineer - Java,Tailoring Needed,,,8,78,Swarup_Resume.pdf,Not researched,"Verify freshness/seniority, tailor resume, apply",,,Action: Apply After Tailoring. Freshness: Priority B (8-14 days, likely). MERGE: Delta contained alternate Apple ID/URL 200674285-1052 for same Software Engineer - Java vacancy; not added as separate row.
oracle-health-bengaluru-search,oracle-health-bengaluru-search,Oracle,"Software Developer 3, Oracle Health",Manual Verification,,,9,75,Swarup_Resume.pdf,Not researched,Find exact Oracle role page before applying.,,,Action: Apply After Tailoring/Manual Verification. Freshness: LIVE - DATE UNKNOWN. AUDIT: Demoted from Verified Official to Official Search Lead because row does not prove a specific apply-ready job page.
4441506343,4441506343,Osettl Technologies Pvt Ltd (Legodesk),Full Stack Developer -- Java (Springboot) + React,Manual Verification,,,10,82,Swarup_Resume.pdf,Not researched,Find official employer page and verify,,,Action bucket: Manual Verification. Freshness: Priority B / live portal lead.
4441947109,4441947109,MUFG,Analyst - Full Stack Web C# .Net,Manual Verification,,,11,80,Swarup_Resume.pdf,Not researched,Find official employer page and verify,,,Action bucket: Manual Verification. Freshness: live portal lead.
4448827499,4448827499,Uplers,Full-Stack Engineer (React / .NET Core / Azure),Manual Verification,,,12,79,Swarup_Resume.pdf,Not researched,Find official employer page and verify,,,Action bucket: Manual Verification. Freshness: Priority A/B live portal lead.
4434990260,4434990260,DSV - Global Transport and Logistics,IT Developer,Manual Verification,,,13,78,Swarup_Resume.pdf,Not researched,Find official employer page and verify,,,Action bucket: Manual Verification. Freshness: live portal lead.
4418753895,4418753895,Dayforce,(IND) Software Developer,Manual Verification,,,14,82,Swarup_Resume.pdf,Not researched,Find official employer page and verify,,,Action bucket: Manual Verification. Freshness: live portal lead.
4450708181,4450708181,Shipco IT,Associate - Application Developer (React Developer),Manual Verification,,,15,77,Swarup_Resume.pdf,Not researched,Find official employer page and verify,,,Action bucket: Manual Verification. Freshness: Priority A. Portal lead.
4440043767,4440043767,Worldpay,Java Developer – 2 to 5 yrs,Manual Verification,,,16,81,Swarup_Resume.pdf,Not researched,Find official employer page and verify,,,Action bucket: Manual Verification. Freshness: Priority A. Portal lead.
4301159877,4301159877,Tecnovos,Developer - Java Full Stack,Manual Verification,,,17,79,Swarup_Resume.pdf,Not researched,Find official employer page and verify,,,Action bucket: Manual Verification. Freshness: live portal lead.
4435557191,4435557191,Triveous,Full Stack Developer,Manual Verification,,,18,78,Swarup_Resume.pdf,Not researched,Find official employer page and verify,,,Action bucket: Manual Verification. Freshness: live portal lead.
4444328363,4444328363,NowFloats,"Software Engineer-Mobile (iOS, Android & React Native)",Manual Verification,,,19,66,Swarup_Resume.pdf,Not researched,Find official employer page and verify,,,Action bucket: Stretch / Manual Verification. Freshness: Priority C. Portal lead.
4431918819,4431918819,I Knowledge Factory (IKF),Jr. Full stack Developer,Manual Verification,,,20,67,Swarup_Resume.pdf,Not researched,Find official employer page and verify,,,Action bucket: Stretch / Manual Verification. Freshness: Priority C. Portal lead.
4550776,4550776,Tallect,Software Engineer (Full Stack) | Node.js | SQL | AI-Driven Development,Manual Verification,,,21,68,Swarup_Resume.pdf,Not researched,Find official employer page and verify,,,Action bucket: Stretch / Manual Verification. Freshness: Priority A. Portal lead.
4450313037,4450313037,Husky Technologies,"Developer - Shotscope™ (.NET Full Stack) - Husky(Guindy, Chennai)",Manual Verification,,,22,65,Swarup_Resume.pdf,Not researched,Find official employer page and verify,,,Action bucket: Manual Verification. Freshness: Priority A. Portal lead.
4450302920,4450302920,Quest Global,C#.NET Developer with WPF,Manual Verification,,,23,64,Swarup_Resume.pdf,Not researched,Find official employer page and verify,,,Action bucket: Manual Verification. Freshness: Priority A. Portal lead.
4432882357,4432882357,Optum India,"Software Engineer - .NET, C# & React",Manual Verification,,,24,77,Swarup_Resume.pdf,Not researched,Find official employer page and verify,,,Action bucket: Manual Verification. Freshness: live portal lead.
4430862662,4430862662,AAXIS,Full Stack Engineer,Manual Verification,,,25,76,Swarup_Resume.pdf,Not researched,Find official employer page and verify,,,Action bucket: Manual Verification. Freshness: live portal lead.
JR193411,JR193411,Carelon Global Solutions India,Java and React Software Engineer II,Manual Verification,,,26,79,Swarup_Resume.pdf,Not researched,Find official employer page and verify,,,Action bucket: Manual Verification. Freshness: live portal lead.
4448408058,4448408058,UST,.Net Fullstack Developer,Manual Verification,,,27,65,Swarup_Resume.pdf,Not researched,Find official employer page and verify,,,Action bucket: Manual Verification. Freshness: live portal lead.
ATCI-5285615-S1931366,ATCI-5285615-S1931366,Accenture,Custom Software Engineer,Tailoring Needed,,,1,88,Swarup_Resume.pdf,Not researched,Tailor resume and apply,,,"Apply After Tailoring; strong fit on Java, React, Spring Boot, REST, SQL, testing."
ATCI-5113335-S1891414,ATCI-5113335-S1891414,Accenture,Application Developer,Tailoring Needed,,,2,87,Swarup_Resume.pdf,Not researched,Tailor resume and apply,,,Apply After Tailoring; strong full-stack match.
